global_step,episode_idx,agent,action,reward,pos_F,pos_M,carry_F,carry_M,terminal
276,0,F,RIGHT,0.2500000000000001,"(3, 1)","(4, 6)",1,0,0
277,0,M,UP,0.26000000000000023,"(3, 1)","(3, 6)",1,0,0
278,0,F,RIGHT,0.24000000000000013,"(3, 2)","(3, 6)",1,0,0
279,0,M,UP,0.2500000000000001,"(3, 2)","(2, 6)",1,0,0
280,0,F,RIGHT,0.23000000000000018,"(3, 3)","(2, 6)",1,0,0
281,0,M,LEFT,0.24000000000000013,"(3, 3)","(2, 5)",1,0,0
282,0,F,WAIT,0.01000000000000014,"(3, 3)","(2, 5)",1,0,0
283,0,M,RIGHT,-0.14999999999999994,"(3, 3)","(2, 6)",1,0,0
284,0,F,DOWN,0.22,"(4, 3)","(2, 6)",1,0,0
285,0,M,WAIT,0.03000000000000007,"(4, 3)","(2, 6)",1,0,0
286,0,F,DOWN,0.21000000000000005,"(5, 3)","(2, 6)",1,0,0
287,0,M,UP,0.24000000000000013,"(5, 3)","(1, 6)",1,0,0
288,0,F,UP,-0.18000000000000002,"(4, 3)","(1, 6)",1,0,0
289,0,M,RIGHT,-0.14999999999999994,"(4, 3)","(1, 7)",1,0,0
290,0,F,DOWN,0.21000000000000005,"(5, 3)","(1, 7)",1,0,0
291,0,M,WAIT,0.03000000000000007,"(5, 3)","(1, 7)",1,0,0
292,0,F,LEFT,-0.18000000000000002,"(5, 2)","(1, 7)",1,0,0
293,0,M,DOWN,-0.1399999999999998,"(5, 2)","(2, 7)",1,0,0
294,0,F,UP,-0.16999999999999987,"(4, 2)","(2, 7)",1,0,0
295,0,M,UP,0.2500000000000001,"(4, 2)","(1, 7)",1,0,0
296,0,F,DOWN,0.22,"(5, 2)","(1, 7)",1,0,0
297,0,M,LEFT,0.24000000000000013,"(5, 2)","(1, 6)",1,0,0
298,0,F,RIGHT,0.21000000000000005,"(5, 3)","(1, 6)",1,0,0
299,0,M,DOWN,-0.14999999999999994,"(5, 3)","(2, 6)",1,0,0
300,0,F,UP,-0.18000000000000002,"(4, 3)","(2, 6)",1,0,0
301,0,M,LEFT,0.24000000000000013,"(4, 3)","(2, 5)",1,0,0
302,0,F,LEFT,-0.16999999999999987,"(4, 2)","(2, 5)",1,0,0
303,0,M,DOWN,-0.14999999999999994,"(4, 2)","(3, 5)",1,0,0
304,0,F,UP,-0.1599999999999999,"(3, 2)","(3, 5)",1,0,0
305,0,M,WAIT,0.03000000000000007,"(3, 2)","(3, 5)",1,0,0
